mapped_gene	pvalue
LINC00574 - RPL12P23	0.000000008
ABCF1	0.0000000000001
C6orf10	2e-22
HLA-J, ZNRD1-AS1	0.000000000000002
ITPR3	0.000000000004
MUC22	0.0000000000001
TRNAI25	0.0000000000007
MCF2L	0.00000002
APOM, BAG6	0.0000000003
ABO	0.000008
BACH2	0.000002
FCRL3	0.0000000000002
LOC101930098	0.0000000000001
TRNAI25	7e-33
TSHR	7e-24
NPM1P33 - CTLA4	2e-17
RNASET2 - MIR3939	0.0000000007
AGAP2	0.000000002
AHI1	0.0000000000001
ALPK2	0.000004
BACH2	0.00000004
BATF	0.00000002
C1orf106	0.000000002
CD58	3e-16
CD86	0.00000006
CD86	0.00000000001
CHST12	0.000004
CLEC16A	9e-17
CLECL1	0.00000001
CXCR5	0.0000003
CYP24A1	0.00000000003
DKKL1	0.000000005
DLEU1	0.0000005
EVI5	0.000000000000006
FCRL3	0.000003
IL12A, IL12A-AS1	0.000007
IL2RA	0.00000000003
IL7R	0.00000002
LOC101928791	0.0000000002
LOC285626	0.00000000001
MALT1	0.000000003
MANBA	0.0000001
MAPK1	0.000000005
MERTK	0.00000001
MPV17L2	0.00000001
MYNN	0.0000007
NCOA5	0.0000000005
NDFIP1	0.000002
ODF3B	0.00000002
PLCL2	0.000004
PVR	0.000001
RGS14	0.0000005
RPS6KB1	0.00000009
RREB1	0.000003
SAE1	0.0000005
SLC15A2	0.00000002
SLC30A7	0.0000000003
SP140	0.0000000002
STAT3	0.0000000002
SYK	0.0000009
TAGAP	0.000000000000007
TIMMDC1	0.000000003
TNFRSF1A	0.00000000000004
TNFSF14	0.00000000000009
ZBTB46	0.0000001
ZFP36L1	0.000000000009
ZMIZ1	0.000000006
ZNF767P	0.000000005
BCL10 - DDAH1	0.000001
BTF3L4P3 - TNFAIP3	0.00000001
DDX10P1 - RNA5SP309	0.000003
EOMES - CMC1	0.000000001
EOMES - CMC1	0.000000000000002
FUT2 - MAMSTR	0.000002
HHEX - EXOC6	0.000000005
HIGD1AP18 - PKIA	0.0000002
IL20RA - IL22RA2	0.0000000000006
IL2RA - RPL32P23	5e-20
LINC00603 - PTGER4	3e-16
MAF - DYNLRB2	0.000004
MAP3K14 - ARHGAP27	0.000003
MIR1181 - PDE4A	0.000001
MIR1204 - PVT1	0.000000008
MIR1208 - LINC01263	0.000000005
MIR3662 - MYB	0.000002
MIR6774 - LINC01082	0.00000001
MRPS17P5 - PTPRK	0.000000006
NFKBIZ - ZPLD1	0.000000009
PLEK - FBXO48	0.00000000005
RGCC - VWA8	0.000004
RGS21 - RGS1	0.00000002
SESN3 - FGFR3P2	0.0000006
SOX8 - SSTR5-AS1	0.00000008
TRNAA45P - CD5	0.00000000002
TRNAI13 - ZFP36L2	0.0000000006
TTC34 - ACTRT2	0.00000000000001
VCAM1 - EXTL2	0.00000004
VDAC1 - TCF7	0.0000006
ADAD1	0.000006
CD226	0.000000001
CLEC16A	0.00000000000005
CTLA4	2e-17
ERBB3	3e-27
FCRL3	0.00000000001
IFIH1	0.00000000000002
IGF2, IGF2-AS, INS-IGF2	3e-23
IKZF4	5e-18
IL2	0.0000005
IL2RA	1e-38
INS, INS-IGF2	0
SH2B3	2e-38
TYK2	0.0000000001
UBASH3A	0.0000001
CEP76 - PTPN2	0.0000000000004
IL27 - NUPR1	0.00000001
IL2RB - C1QTNF6	0.000002
RASGRP1 - C15orf53	0.0000002
RPS14P1 - IL10	0.0000000005
ZPBP2 - GSDMB	0.000002
C6orf10	0.00000001
CD247	0.000003
GRB10	0.000001
HLA-DPA1, HLA-DPB1	2e-20
HLA-DRA	2e-27
NOTCH4	9e-21
SOX5	0.0000001
SOX5	0.000005
STAT4	0.00000009
TNPO3	0.000000001
TNPO3	0.0000000002
TNPO3	0.0000002
TNPO3	0.0000008
TRNAI25	0.0000001
MIR6774 - LINC01082	0.000000000002
ZC3H10 - ESYT1	0.00000006
CD247	0.000001
PSORS1C1, PSORS1C2	0.0000000006
STAT4	0.0000000000002
TNIP1	0.000000005
TNPO3	0.0000004
TRNAI25	2e-37
RHOB - HS1BP3-IT1	0.000003
ANTXR2	0.00000009
CARD9	0.000001
ERAP1	2e-27
IL23R	2e-17
KIF21B	0.000000000005
LOC101929072, MICA	0
KPNB1 - TBKBP1	0.00000005
LINC00603 - PTGER4	0.0000003
LTBR - RPL31P10	0.000000000004
MIR5192 - TMEM17	7e-34
MIR6731 - MIR4425	0.00000000009
RNU4ATAC2P - ADRA1B	0.00000002
RPSAP64 - RPL23AP12	0.00000000002
TNFSF15 - TNFSF8	0.0000000000004
FLG-AS1	0.000000000006
BVES-AS1, POPDC3	0.000008
TRIM2	0.000004
YWHAG	0.000006
YWHAG	0.000008
HSPB1 - YWHAG	0.000008
HSPB1 - YWHAG	0.000006
AIRE	0.000000004
C6orf10	2e-38
PADI4	0.00000002
ARHGEF3	0.000002
BLK	0.000005
TRHDE	0.000006
TRNAI25	5e-23
C6orf10	0.000003
HLA-DQA1	6e-28
HLA-DQB2	0.000000000002
ITGAM	0.000000000000001
LAMC2	0.0000006
NAALADL2	0.000008
OR4A15	0.000007
PHRF1	0.000004
STAT4	2e-20
STAT4	0.000008
TMC2	0.000008
TNPO3	7e-18
TNPO3	0.000000006
TNXB	6e-29
TRNAI25	0.000008
UBE2L3	0.000002
ASS1P7 - LINC00578	0.000004
CWC22 - SCHLAP1	0.000002
FAM167A - BLK	0.0000003
PTTG1 - MIR3142	0.000002
RCC2P8 - COL25A1	0.000001
RNA5SP73 - BRINP3	0.000007
RPL7AP9 - YWHAQP7	0.000005
SLC1A7 - CPT2P1	0.000004
BTBD1	0.000007
IGH	0.000007
TRNAI25	0.00000000008
PUS10	0.00000000001
ADAD1	0.0000009
APEH	2e-17
C1orf106	0.0000000000002
C21orf33	0.00000000006
C5orf66	0.000000001
CARD9	3e-19
CCNY	0.0000000007
DAP	0.000000000006
FCGR2A	2e-20
GNA12	0.000000000000003
IL17REL	0.0000002
IL23R	5e-28
IL7R	0.00000004
LINC00598	0.000000000004
LOC100996583	0.000000003
LOC101927324	8e-21
LSP1	0.0000000001
NXPE1	0.00000000000005
PARK7	0.000000005
PUS10	0.00000000000002
RTEL1, RTEL1-TNFRSF6B	0.0000000002
TNFSF15	0.000000000006
BTF3L4P3 - TNFAIP3	8e-17
C11orf30 - LRRC32	5e-16
CXCR2 - CXCR1	0.0000000001
FGFR1OP2P1 - RPS21P8	1e-16
GPR35 - AQP12B	0.00000000008
HNRNPA1P41 - JAK2	2e-25
HNRNPA1P70 - IFNG	1e-16
IL1R2 - IL1R1	0.000000000003
KCP - IRF5	0.00000002
LINC00603 - PTGER4	0.000000003
MIR3646 - C20orf62	1e-20
MIR4418 - ZBTB40	0.0000000000002
MIR4456 - CEP72	0.00000003
MIR6774 - LINC01082	6e-19
NRIP1 - CYCSP42	0.0000000000007
PIGCP2 - DLD	2e-16
RNF186 - OTUD3	4e-35
RNU4ATAC2P - ADRA1B	1e-21
RPL35P3 - PRDM1	0.00000001
RPS14P1 - IL10	6e-17
RPSAP64 - RPL23AP12	2e-22
ZFP90 - CDH3	0.00000004
ZPBP2 - GSDMB	0.00000000005
SPEF2	0.0000004
ATP1A1-AS1 - CD58	0.0000001
TRNAA45P - CD5	0.000000001
PELI1	0.000002
VKORC1P2 - OMA1	0.000001
GMCL1P1	0.000004
IRF5	0.0000003
LOC101928822, PTPN22	0.00000001
CICP20 - IGFBP1	0.0000005
KCNIP4-IT1 - GPR125	0.000007
NFYAP1 - LGMNP1	0.0000005
NFYAP1 - LGMNP1	0.0000003
NFYAP1 - LGMNP1	0.0000001
RPS12P4 - C2orf91	0.000002
RPS12P4 - C2orf91	0.00000004
SORL1 - MIR100HG	0
ATG16L1, SCARNA5	7.00005e-41
BACH2	0.000000005
C1orf106	0.0000002
C21orf33	0.00000000000002
C5orf56	1e-20
CARD9	1e-36
CCNY	0.000000001
CD244	0.0000006
CDKAL1	0.00000001
CLN3	0.00000000002
DENND1B	0.000000009
DNMT3A	0.0000000009
ERAP2	0.0000000001
GCKR	0.00000000005
GPR65	4e-18
IL18RAP	0.000000000002
IL2RA	0.000000003
LACC1	0.0000000001
LOC101928822, PTPN22	0.000000004
LOC102723878	0.0000000006
LOC285626	0.00000000000005
LTA, TNF	0.00000000004
MST1	6e-17
MUC19	6e-21
PER3	0.000000007
PTPN2	0.00000000000001
PTRF	0.00000003
PUS10	0.000000007
SBNO2	0.000000000008
SCAMP3	0.0000000000002
SLC22A23	0.000000007
SMAD3	3e-19
SP140	0.0000000000003
THADA	0.00000000000002
TMEM258	0.00000000002
TNFSF15	0.000000000000001
TYK2	0.000000000001
UBE2L3	5e-16
ZGPAT	0.000000000000003
ZMIZ1	1e-30
BOD1 - CPEB4	0.000000000003
C11orf30 - LRRC32	0.0000000000006
C7orf72 - IKZF1	0.00000001
CCL2 - CCL7	0.0000000000002
FABP3P2 - TNFSF11	0.0000000005
FUT2 - MAMSTR	0.000000000007
GOT1 - NKX2-3	2e-20
HNRNPA1P41 - JAK2	0.0000000000001
IRGM - ZNF300	8e-19
LINC00603 - PTGER4	7e-36
LINC01263 - LINC00977	4e-18
MRPL11P2 - NDFIP1	0.000000002
MRPS35P3 - IPMK	9e-17
NRIP1 - CYCSP42	0.000000000009
PDGFB - RPL3	1e-26
RAD23BP1 - KCNH8	0.000000007
RNASET2 - MIR3939	0.000000000003
RPL12P7 - ZFP36L1	0.0000000002
RPL35P3 - PRDM1	0.00000004
RPS14P1 - IL10	0.00000000000002
RPS3AP51 - LIF	0.000000000007
SLC25A38P1 - AIMP1P2	0.000000000000002
SLC7A10 - CEBPA	0.000000009
TAGAP - FNDC1	0.00000000002
TMEM174 - FOXD1	0.000000000006
TRIB1 - LINC00861	0.000000000002
ZNF365 - ALDH7A1P4	4e-22
ZPBP2 - GSDMB	0.000000002
DUS4L	0.00000006
ELF1	0.00000001
CAST, ERAP1	0.00000000003
IL12B	0.00000000005
IL23R	0.0000007
KCNH7	0.0000000000001
LINC01185	0.000000004
REV3L	5e-20
REV3L	2e-16
RNF114	0.000002
STAT2	0.0000002
TNFAIP3	0.0000007
TYK2	0.00000000004
TYK2	0.000000004
IFNLR1 - GRHL3	0.00000007
LCE3E - LCE3D	0.0000000003
PSMA6 - RPLP0P3	0.00000000002
RAD23BP1 - KCNH8	0.0000001
FBXL19	0.0000000009
KIAA0391	0.00000002
LINC01185	0.000006
NOS2	0.00000000004
SPATA2	0.0000002
NCOR1P2 - UBBP4	0.0000001
RPS26 - ERBB3	0.000001
SDC4 - SYS1	0.0000001
LOC285626	1e-20
TRAF3IP2, TRAF3IP2-AS1	1e-16
TRNAI25	4e-32
HLA-C	0
TRAF3IP2, TRAF3IP2-AS1	1e-20
RNU4ATAC2P - ADRA1B	7e-17
CACNA2D1	0.000008
HDAC9	0.000002
LINC00243	0.000004
BPIFB4 - BPIFA2	0.000004
CCT5-2P - NIPA2P5	0.000003
EIF4A1P12 - BTF3P2	0.000002
FBXL17 - RPS20P3	0.000007
RNA5SP173 - LINC00290	0.000009
TNFSF15 - TNFSF8	0.000001
C14orf23	0.000002
CUEDC1	0.000002
SUMF1	0.0000006
MIR1255B1 - MIR4801	0.000007
MIR625 - NCOA4P1	0.000009
LINC00704	0.000007
TRNAI25	0.0000000005
EEF1A1P14 - KCNT2	0.000004
RPL6P25 - SLC6A15	0.000003
SNRPGP13 - LINC00114	0.000005
IL10	0.00000000000001
IL23R - IL12RB2	0.00000000002
IL10	4e-18
IL23R - IL12RB2	0.000000007
LOC101928464, ZNF433	0.000001
TRNAI25	4e-17
VAV2	0.000001
RASGEF1A - FXYD4	0.0000002
ATG16L1, SCARNA5	0.000003
C5orf56	0.0000001
FGFR1OP	0.00000006
FUT2	0.00000002
IL23R	0.000001
NOD2	0.000000000000002
RNU4ATAC2P - ADRA1B	0.00000007
RNASET2	1e-16
SLC44A4	0
TRNAI25	2e-33
ZMIZ1	0.0000008
ANKRD55	0.00000000001
C5orf30	0.00000004
C6orf10	0
CCR6	0.00000000002
CD247	0.000002
CD40	0.000000003
CTLA4	0.00000001
DKFZp667F0711	0.000002
FAM107A	0.00000005
IL2RA	0.00000000001
KIAA1109	0.0000007
LINC01104	0.000002
LOC101929761	0.0000000004
MMEL1	0.000004
REL	0.0000008
SH2B3	0.000006
SPRED2	0.0000000005
STAT4	0.0000003
TNPO3	0.00000000004
TRAF1	0.0000002
UBASH3A	0.000004
AFF3 - LINC01104	0.00000000000001
BTF3L4P3 - TNFAIP3	0.0000000000009
JDP2 - BATF	0.0000001
MIR3659 - TUBB6P1	0.0000004
RPLP1 - GEMIN8P1	0.000002
ZPBP2 - GSDMB	0.0000009
CCR6	8e-19
STAT4	0.000002
TNFAIP3	0.000002
CBLB	0.0000000002
TRNAI25	1e-20
BTNL2, LOC101929163	7e-19
C1QTNF6	2e-16
GZMB	0.00000003
HCG9	9e-23
LOC101928822, PTPN22	0.0000001
LPP	0.00000000001
RERE	0.000000000000007
TYR	2e-18
UBASH3A	0.000000001
CD247	0.000000003
STAT4	0.000000003
BTNL2, LOC101929163	0.000000005
CARD9	0.00000005
CIITA	0.000003
GSDMB	0.00000003
IL23R	0.0000000000001
LOC101927324, NKX2-3	0.00000001
MROH3P	0.0000002
MST1	0.000000004
RNF186	0.0000000002
SATB2	0.000005
HNRNPA1P41 - JAK2	0.000001
HNRNPA1P70 - IFNG	0.000000000004
MIR4456 - CEP72	0.000000001
NRIP1 - CYCSP42	0.0000002
PIGCP2 - DLD	0.00000008
RNF186 - OTUD3	2e-21
RPS14P1 - IL10	0.00000001
TRNAG25 - FCGR2A	0.000000003
ZPBP2 - GSDMB	0.0000001
IL10	0.000000000001
IL17REL	0.00000004
LOC101927324	0.000002
OTUD3	9e-22
TRNAI25	0.000000000000004
SMURF1 - KPNA7	0.00000000009
ETS1	0.00000000002
WDFY4	0.000000000008
STAT3	0.0000000003
TRNAI25	2e-25
MGAT5	0.0000002
COG5	0.00000008
ERAP1	0.000000000005
IL23R	0.00000000000009
LOC101927156	0.000002
MALRD1	0.000004
IL1R2 - IL1R1	0.0000005
MIR5192 - TMEM17	2e-19
RPSAP64 - RPL23AP12	8e-20
MEG3	0.0000000001
PKDCC	0.000002
ATXN2L	0.000000002
HORMAD2	0.000000002
SLC7A10 - CEBPA	0.0000000004
BTNL2	0.000003
CCHCR1	0
FCGR2A	0.000000000002
TRNAI25	5e-22
FGFR1OP2P1 - RPS21P8	0.00000007
INSL6 - INSL4	0.000001
PIGCP2 - DLD	0.0000001
BSN	0.000000007
C1orf106	0.000001
CARD9	0.000007
IL10	0.00000008
IL23R	0.0000000003
LOC101927324	0.0000002
TRNAI25	4e-23
ZFP90	0.00000003
CDKN2AIPNLP3 - LINC00332	0.0000003
MIR3646 - C20orf62	9e-17
MIR4418 - ZBTB40	0.0000003
PIGCP2 - DLD	0.00000003
RNF186 - OTUD3	0.00000000002
ATP8B1	0.000003
SMOC2	0.00000009
HUNK - LINC00159	0.000002
KCNK12 - RPL18AP6	0.000007
HIP1	0.00000002
LRRC18, WDFY4	0.000000000007
RASGRP3	0.000000000000001
SLC15A4	0.00000000002
STAT4	4.99983e-42
TNFAIP3	1e-17
TNIP1	0.000000002
TRNAI25	0.000000000001
C7orf72 - IKZF1	3e-23
FAM167A - BLK	2e-24
KCP - IRF5	8e-19
KIRREL3-AS3 - ETS1	2e-25
PRDM1 - ATG5	0.000000000005
TNFSF4 - RPL26P11	3e-32
TREH - DDX6	1e-16
ZNF689 - PRR14	0.0000003
ZNF689 - PRR14	0.00000003
ASAP1	0.000002
CD58	0.0000001
CYP27B1, METTL1	0.00000000005
FAM69A, RPL5	0.000003
IL2RA	0.000007
HS3ST2 - USP31	0.000001
RPL13P2 - CD40	0.0000001
CD58, MIR548AC	0.0000000003
CD6	0.000000004
HLA-DRA	0
HLA-F, HLA-F-AS1	1e-17
IL12A-AS1	0.000006
IL2RA	0.00000009
IL7R	0.000002
MPHOSPH9	0.0000007
TNFRSF1A	0.00000000002
TNFRSF1A	0.000005
ZMIZ1	0.000002
HNRNPKP2 - UBBP1	0.0000001
LINC00603 - PTGER4	0.0000002
MIR6774 - LINC01082	0.000000004
LOC101928822, PTPN22	2e-21
PHF19	0.00000004
REL	0.000000000002
FAM167A - BLK	0.000000006
NPM1P33 - CTLA4	0.000000006
BACH2	0.00000005
CD69	0.00000000002
CENPW	0.0000000000004
CLEC16A	2e-16
CTLA4	0.000000000000001
CTSH	0.00000008
DNAH2	0.0000005
ERBB3	2e-25
GAB3	0.000000008
GLIS3	0.000000000005
GSDMB	0.0000000000006
IFIH1	0.000000007
KIAA1109	0.0000000000005
LOC100506457	0.000002
PGM1	0.0000004
PRKCQ	0.0000001
PRKD2	0.00000000003
PTPN2	0.000000000000004
SH2B3	3e-27
SIRPG	0.00000000001
SKAP2	0.000000005
UBASH3A	0.000000002
ZFP36L1	0.000000000002
C14orf64 - C14orf177	0.000000004
C1QTNF6 - SSTR3	0.0000002
CCR7 - SMARCE1	0.000000001
CTRB2 - CTRB1	0.000000000000003
GP2 - UMOD	0.0000002
IL27 - NUPR1	0.0000000000003
MIR4686 - ASCL2	0
RPL32P23 - RBM17	0.0000000000001
RPL39P23 - COBL	0.00000004
RPS14P1 - IL10	0.000000002
RPS3AP51 - LIF	3e-16
SMIM20 - RBPJ	0.0000000005
VN1R55P - RNLS	1e-28
C11orf30 - LRRC32	0.0000000008
IL12B	3e-26
LCE3E - LCE3D	7e-30
IL13	0.000000000000005
IL23R	0.00000003
STAT2	0.000000001
TNFAIP3	0.000000000009
TSC1	0.000006
TNIP1 - ANXA6	1e-20
UBLCP1 - IL12B	2e-28
BLK	0.00000002
ITGAM	0.000002
STAT4	0.00000000008
TNFAIP3	0.000000000003
WDFY4	0.000003
MIR548BA - RPL7P13	0.000009
MIR548H3 - CDRT15P1	0.000008
PCDH18 - LINC00616	0.000008
NAALADL2	0.000001
ZFHX3	0.000002
IL23R	0.00000001
IL26	0.0000005
LAMB1	0.000007
RNF186	0.000000007
HNRNPA1P70 - IFNG	0.000000000003
PIGCP2 - DLD	0.000001
PIGCP2 - DLD	0.000005
PIGCP2 - DLD	0.000009
RNF186 - OTUD3	0.0000000000005
RPS2P34 - RPS6P12	0.000002
VTCN1	0.000001
AXDND1	0.000006
BICD1	0.000004
C1GALT1	0.000004
CPAMD8	0.000007
CSMD1	0.000002
FOXO3	0.000007
GPC5	0.000001
IGF2R	0.000007
KCNIP1	0.000009
LEKR1	0.000002
LOC101927998	0.000006
MET	0.000006
MXI1	0.000008
NCKAP5	0.000008
NLRP11	0.000004
PCSK5	0.000005
PDZRN4	0.000002
RAD21L1	0.0000008
RELN	0.000003
SGCD	0.000007
SVIL	0.000008
UGT1A	0.000004
GAPDHP56 - RPL7AP28	0.000002
GTSCR1 - CBLN2	0.000009
HMGB3P25 - RAB38	0.000002
INSIG2 - EN1	0.000007
LINC-ROR - BOD1L2	0.000004
LINC00290 - MGC45800	0.000008
LINC01108 - RPL6P17	0.000006
NPM1P28 - HNRNPA1P20	0.000008
NUBPL - ARHGAP5-AS1	0.000006
PABPC1P11 - PUS7P1	0.000003
RNA5SP271 - KCNB2	0.000003
RPL15P15 - BUD13	0.000006
RPL30P3 - ASAP2	0.000009
RPS23P3 - CENPC	0.000004
TRIM42 - RPL23AP41	0.000003
KIF1B	0.0000000003
BACH2	0.000000000005
CLEC16A	0.0000000000007
CTLA4	0.00000000008
CTSH	0.000000000000003
DKFZp667F0711	0.000000004
ERBB3	3e-16
NAA25	6e-18
PHTF1	9.99995e-41
TNP2	0.000003
C1QTNF6 - SSTR3	0.00000002
CEP76 - PTPN2	0.00000009
RPL32P23 - RBM17	0.000002
RPL36AP13 - NCOA1	0.000004
C6orf10	0.00000000009
BACH2	0.000001
GLIS3	0.000003
LPAR3	0.000002
RASGRP1	0.000004
UBASH3A	0.00000002
TRNAI25	6e-18
RPS14P1 - IL10	0.000000000001
CCL21, LOC101929761	0.00000003
CD40	0.000000008
CDK6	0.000004
DKFZp667F0711	0.000004
KIF5A	0.00000009
MMEL1	0.0000001
PHTF1	6.00036e-42
IL23R	0.00000000007
NOD2	0.0000000004
TNFSF15	0.00000003
TRNAI25	0.00000001
ZGPAT	0.000000000000009
RPSAP64 - RPL23AP12	0.000000000004
C10orf67 - MIR1254-2	0.000004
TRNAI25	0.000000001
LINC01029 - SALL3	0.000006
ATG16L1	2e-32
C21orf33	0.000000001
C5orf56	2e-18
CDKAL1	0.0000000009
FGFR1OP	0.000000000001
ITLN1	0.000000001
LACC1	0.0000000000002
LOC101927324, NKX2-3	3e-16
MROH3P	0.00000000001
MST1	0.000000000001
NOD2	3e-24
STAT3	0.000000000007
TNFSF15	0.0000000003
AIMP1P2 - TNFSF18	0.000000002
C11orf30 - LRRC32	0.000000001
C7orf72 - IKZF1	0.000000005
CEP76 - PTPN2	5e-17
HNRNPA1P41 - JAK2	0.000000003
IRGM - ZNF300	3e-16
LINC00603 - PTGER4	7e-27
NRIP1 - CYCSP42	0.000000007
PRDX2P2 - CUL2	0.000000002
RNU4ATAC2P - ADRA1B	0.0000000000004
RPL30P13 - LRRK2	0.0000000003
RPL35P3 - PRDM1	0.0000000002
TRIB1 - LINC00861	0.000000005
ZNF365 - ALDH7A1P4	4e-20
ZPBP2 - GSDMB	0.000000005
C6orf10	0.0000000002
PARD3B	0.000006
PTGS2 - PLA2G4A	0.000003
COG6	0.000002
HCP5	2e-26
TRNAI25	2e-39
SPATA2	0.00000001
BANK1	0.0000000004
ITGAM	2e-23
LOC100506023	0.0000001
MSH5, MSH5-SAPCD1	0
PHRF1	0.0000000003
PXK	0.000000007
TPI1P2 - CYCSP20	4e-19
HLA-DQA1	3e-21
ITGAX	0.00000000003
LOC102723768	0.000004
NEGR1, NEGR1-IT1	0.000007
NTNG2	0.000003
STAT4	0.00000000000009
TNPO3	0.00000000002
FAM167A - BLK	0.0000000001
GTSCR1 - CBLN2	0.000006
IKZF4	0.0000000009
BTF3L4P3 - TNFAIP3	0.000000001
BTF3L4P3 - TNFAIP3	0.0000001
LOC101928822, PTPN22	0.00000000002
TRAF1	0.00000000000004
C1orf141	0.00000001
C1orf141	0.0000002
IL23R	0.0000002
NOD2	6e-17
IL23R - IL12RB2	0.00000001
IL23R - IL12RB2	0.0000002
NELL1	0.000003
NOD2	1e-21
LINC00603 - PTGER4	0.0000004
BRINP1	0.000008
CLEC16A	0.000004
FAM69A, RPL5	0.000008
IL2RA	0.00000003
IL7R	0.0000003
CLEC16A	0.00000000007
IGF2, IGF2-AS, INS-IGF2	0.000000004
ADAD1	0.000003
ANAPC4	0.000009
ATG16L1	0.00000000000005
BSN	0.00000004
CLEC2D	0.00000005
CLECL1	0.0000007
FSTL4	0.000005
IL23R	0.000000000006
KIAA1109	0.000002
LOC101927324	0.00000006
NAA25	0.00000000000002
NOD2	0.00000000004
PHTF1	5e-26
PHTF1	6e-25
TRNAI25	8e-27
CEP76 - PTPN2	0.0000002
IL2RB - C1QTNF6	0.000001
IRGM - ZNF300	0.0000003
KLF6 - MIR6078	0.000009
LINC00603 - PTGER4	0.000000000002
RNA5SP249 - RPL32P17	0.000004
RPS14P10 - RPS15AP22	0.0000004
RPS26 - ERBB3	0.00000000001
SLC22A5 - C5orf56	0.000003
YRDCP3 - LINC00323	0.000002
ZNF365 - ALDH7A1P4	0.000002
BSN	0.00000005
LOC101927324	0.0000000004
AIMP1P2 - TNFSF18	0.0000002
CEP76 - PTPN2	0.00000003
HNRNPA1P46 - RGS18	0.00000003
LINC00603 - PTGER4	3e-18
RNU4ATAC2P - ADRA1B	0.000009
RPSAP64 - RPL23AP12	0.0000005
SMIM3 - IRGM	0.0000000002
CAPSL	0.000008
CLEC16A	3e-18
ERBB3	2e-20
IFIH1	0.00000000002
IGF2, IGF2-AS, INS-IGF2	0.0000002
IL7R	0.000008
LINC01104	0.000005
NAA25	2e-16
PHTF1	8e-24
CEP76 - PTPN2	0.00000000000001
IL23R	2e-18
NOD2	0.000001
ATG16L1, SCARNA5	0.0000000000001
IL23R	0.000000000003
NOD2	0.00000000000007
ZNF365 - ALDH7A1P4	0.0000000001
NOD2	0.0000000005
